t,ytt,x,xt,xtt,xtt_ytt,f,
55.06,0,-0.7647959721337261,1.436298324500627,18.37631265994839,18.37631265994839,-0.9583861522156896,
55.08,0,-0.7302377676943441,2.0142465959407496,16.794128068188368,16.794128068188368,-0.8892697433369257,
55.1,0,-0.6844661667752193,2.5562072087307364,14.78282335512204,14.78282335512204,-0.7977265414986761,
55.12,0,-0.6282845294818924,3.053935581196923,12.377222040548782,12.377222040548782,-0.6853632669120222,
55.14,0,-0.562653736634547,3.499944006265164,9.618080977820181,9.618080977820181,-0.5541016812173314,
55.16,0,-0.48867590987611764,3.887613607778687,6.5514054429319035,6.5514054429319035,-0.4061460277004727,
55.18,0,-0.4075760349903848,4.211291805402588,3.227686908797911,3.227686908797911,-0.24394627792900703,
55.2,0,-0.3206817929014615,4.466373865667133,-0.29892393899349323,-0.29892393899349323,-0.07015779375116038,
55.22,0,-0.22940192869868936,4.64936737741401,-2.718296088300259,-2.718296088300259,0.04891411253458252,
55.24,0,-0.13520350951910393,4.7579387669157605,-4.377544085824748,-4.377544085824748,0.1308990372691554,
55.26,0,-0.03958843694184888,4.790941256764151,-6.032641214878365,-6.032641214878365,0.2141169362212838,
55.28,0,0.05593041148510241,4.748423968641782,-7.657614939005328,-7.657614939005328,0.2972510871679891,
55.3,0,0.1498530339526977,4.63162216859774,-9.227161091292178,-9.227161091292178,0.3789959741941642,
55.32,0,0.2407157746426843,4.442928949734158,-10.717036415105511,-10.717036415105511,0.45807771485951054,
55.34,0,0.3271140466409102,4.185848936637565,-12.104431488000024,-12.104431488000024,0.5332738369246545,
55.36,0,0.407723956119315,3.8649348739613973,-13.368318317031362,-13.368318317031362,0.6034320988042763,
55.38,0,0.4813224962958425,3.485708224000176,-14.48976733455704,-14.48976733455704,0.6674880652366165,
55.4,0,0.5468060046421274,3.054565140886078,-15.452229043958843,-15.452229043958843,0.7244811713830244,
55.42,0,0.6032066063979233,2.578669408517882,-16.24177615579937,-16.24177615579937,0.7735690343238885,
55.44,0,0.6497064011691975,2.065834122227351,-16.847302706915524,-16.847302706915524,0.8140398002634743,
55.46,0,0.6856491866728529,1.5243940576681099,-17.26067735715195,-17.26067735715195,0.845322348207832,
55.48,0,0.7105495539325402,0.963070802129403,-17.476848799437768,-17.476848799437768,0.8669942059038378,
55.5,0,0.7240992307725387,0.39083282160098365,-17.49390198677724,-17.49390198677724,0.8787870708540153,
55.52,0,0.7261705946145411,-0.18324729984361238,-17.313064662192776,-17.313064662192776,0.8805898676542538,
55.54,0,0.7168173206494585,-0.7501361841515108,-16.730100132110067,-16.730100132110067,0.8618833197240885,
55.56,0,0.6962721767181678,-1.3009812908430782,-15.711346647395171,-15.711346647395171,0.8207930318615071,
55.58,0,0.6649420209788885,-1.827248643511394,-14.276083557634319,-14.276083557634319,0.7581327203829487,
55.6,0,0.623400101965479,-2.3208545167399466,-12.44998930052411,-12.44998930052411,0.6750488823561296,
55.62,0,0.5723758022757005,-2.7742890598329657,-10.264689893865363,-10.264689893865363,0.5730002829765726,
55.64,0,0.5127420062314607,-3.1807299756361527,-7.757217374873115,-7.757217374873115,0.453732690888093,
55.66,0,0.44550030782888417,-3.534144543107458,-4.969387371849207,-4.969387371849207,0.3192492940829399,
55.68,0,0.37176430760303625,-3.8293784682869836,-1.9471061948060522,-1.9471061948060522,0.17177729363124405,
55.7,0,0.2927412751902061,-4.062230266640486,1.2603811390402342,1.2603811390402342,0.01373122880558375,
55.72,0,0.2097124779686147,-4.229510116814346,2.9473300684888684,2.9473300684888684,-0.06853579252819036,
55.74,0,0.12401249485974375,-4.3290823777759435,4.507106882503728,4.507106882503728,-0.14565331893189554,
55.76,0,0.037007847920144415,-4.359891224052171,6.064134484728847,6.064134484728847,-0.2239448531214172,
55.78,0,-0.049924707426561264,-4.321969123111236,7.593970609256388,7.593970609256388,-0.3021715153574474,
55.8,0,-0.13541988986485118,-4.216428150577844,9.072783800773621,9.072783800773621,-0.3791047509299518,
55.82,0,-0.21814525633437087,-4.0454344086440335,10.477723249449772,10.477723249449772,-0.45354555478477787,
55.84,0,-0.2968218897694268,-3.8121660765153313,11.78727044061123,11.78727044061123,-0.5243430874817769,
55.86,0,-0.370244090480588,-3.5207558749214165,12.98156723093175,12.98156723093175,-0.5904123945756662,
55.88,0,-0.4372977692854455,-3.1762189657214814,14.04271537370809,14.04271537370809,-0.6507509577598625,
55.9,0,-0.49697726316043944,-2.7843675287985397,14.955043001751104,14.955043001751104,-0.7044538265085987,
55.92,0,-0.5484003210673074,-2.3517134584232378,15.70533412929842,15.70533412929842,-0.7507271031422047,
55.94,0,-0.5908210382521257,-1.8853607970933262,16.283017844958405,16.283017844958405,-0.7888995818159573,
55.96,0,-0.6236405512123685,-1.3928896739388668,16.680314525999325,16.680314525999325,-0.8184323724356825,
55.98,0,-0.6464153421208991,-0.8822336349840689,16.892337099600972,16.892337099600972,-0.8389263734321153,
56,0,-0.6588630401901485,-0.36155234220278676,16.917146097786986,16.917146097786986,-0.8501274921453035,
56.02,0,-0.6608656476312053,0.16089832378274455,16.755757988131048,16.755757988131048,-0.8519295477188239,
56.04,0,-0.6524701588689059,0.6768966970029494,16.22979057295156,16.22979057295156,-0.8351385701942252,
56.06,0,-0.6338865828647339,1.1783842421398019,15.307084048356293,15.307084048356293,-0.7979714181858811,
56.08,0,-0.6054834191258652,1.657590939183732,14.005115420310187,14.005115420310187,-0.7411650907081438,
56.1,0,-0.5677806776046675,2.1071551933190573,12.347189114734224,12.347189114734224,-0.6657596076657485,
56.12,0,-0.5214405706040445,2.5202364272222018,10.362027062361108,10.362027062361108,-0.5730793936645023,
56.14,0,-0.46725604041748325,2.890618641767972,8.083276746651654,8.083276746651654,-0.4647103332913799,
56.16,0,-0.40613731920622376,3.212803385911834,5.548945560193127,5.548945560193127,-0.3424728908688609,
56.18,0,-0.3390967470560433,3.4820907546238056,2.800770910103241,2.800770910103241,-0.2083917465685,
56.2,0,-0.2672320998252431,3.694647232218622,-0.11646354848229401,-0.11646354848229401,-0.06466245210689958,
56.22,0,-0.191708699918555,3.847559413986163,-2.1960797845178606,-2.1960797845178606,0.037771729621101396,
56.24,0,-0.113740600191852,3.9388728681605847,-3.576390842049852,-3.576390842049852,0.10595514618065703,
56.26,0,-0.0345711435749939,3.9676156392742667,-4.9538511513689745,-4.9538511513689745,0.17518915416882597,
56.28,0,0.04454679146446076,3.9338061389942696,-6.306840443567949,-6.306840443567949,0.2443781063304938,
56.3,0,0.12237054688757588,3.8384454177390013,-7.614285321038384,-7.614285321038384,0.3124352932164518,
56.32,0,0.19768713207788013,3.6834940558212796,-8.855986239983583,-8.855986239983583,0.378299949657668,
56.34,0,0.26933205864615306,3.471834152717754,-10.012928307439177,-10.012928307439177,0.4409537258777685,
56.36,0,0.3362072717254623,3.207217123597374,-11.067571131355459,-11.067571131355459,0.4994363684826122,
56.38,0,0.3972979028193107,2.8941982299012703,-12.004113327164145,-12.004113327164145,0.5528603708933242,
56.4,0,0.4516875898458595,2.538058972230028,-12.808727715456524,-12.808727715456524,0.6004243707865387,
