t,ytt,xt,xtt,x,xtt+ytt,f
5.64,-11.5,-2.462400505,18.64173044,-0.157387953,7.141730438,-0.314775905
5.66,-8.9,-2.098928746,17.70544542,-0.203001245,8.805445423,-0.40600249
5.68,2.5,-1.844213192,7.766109963,-0.242432664,10.26610996,-0.484865329
5.7,12.6,-1.775857224,-0.930513114,-0.278633369,11.66948689,-0.557266737
5.72,16.3,-1.817127367,-3.196501175,-0.314563215,13.10349882,-0.629126429
5.74,12.8,-1.831598245,1.749413351,-0.351050471,14.54941335,-0.702100941
5.76,2.7,-1.682300501,13.18036105,-0.386189458,15.88036105,-0.772378916
5.78,-7.7,-1.30432747,24.61694204,-0.416055738,16.91694204,-0.832111476
5.8,-15.1,-0.732106334,32.60517159,-0.436420076,17.50517159,-0.872840152
5.82,-10.4,-0.125900965,28.01536526,-0.445000149,17.61536526,-0.890000298
5.84,-2.5,0.352706639,19.84539515,-0.442732092,17.34539515,-0.885464184
5.86,3.2,0.687247776,13.60871856,-0.432332548,16.80871856,-0.864665096
5.88,6.4,0.920198004,9.68630424,-0.41625809,16.08630424,-0.83251618
5.9,3,1.138970068,12.19090214,-0.395666409,15.19090214,-0.791332819
5.92,-1.2,1.413675058,15.2795969,-0.370139958,14.0795969,-0.740279916
5.94,-3.8,1.731651006,16.51799783,-0.338686698,12.71799783,-0.677373395
5.96,-5.4,2.061790459,16.49594753,-0.300752283,11.09594753,-0.601504566
5.98,-0.8,2.327380407,10.06304727,-0.256860574,9.263047273,-0.513721148
6,0.7,2.493979324,6.596844432,-0.208646977,7.296844432,-0.417293954
6.02,-1.8,2.630173429,7.022566042,-0.157405449,5.222566042,-0.314810899
6.04,-6.3,2.793596474,9.319738473,-0.10316775,3.019738473,-0.206335501
6.06,-11.5,3.008277038,12.14831795,-0.045149015,0.648317953,-0.09029803
6.08,-13.2,3.242681915,11.29216972,0.017360574,-1.907830284,0.034721149
6.1,-8.6,3.395740848,4.013723597,0.083744802,-4.586276403,0.167489604
6.12,1.3,3.350552379,-8.532570564,0.151207734,-7.232570564,0.302415468
6.14,8.9,3.07953769,-18.56889824,0.215508635,-9.668898244,0.43101727
6.16,11.1,2.665043633,-22.88050747,0.272954448,-11.78050747,0.545908896
6.18,6.9,2.231735309,-20.45032492,0.321922238,-13.55032492,0.643844475
6.2,-2.7,1.903639895,-12.35921656,0.36327599,-15.05921656,0.726551979
6.22,-9.6,1.71190479,-6.814293953,0.399431436,-16.41429395,0.798862873
6.24,-10.4,1.571188267,-7.257358262,0.432262367,-17.65735826,0.864524734
6.26,-5.1,1.362248046,-13.63666389,0.46159673,-18.73666389,0.92319346
6.28,1.5,1.015435502,-21.04459048,0.485373566,-19.54459048,0.970747131
6.3,7.2,0.533247543,-27.17420547,0.500860396,-19.97420547,1.001720792
6.32,10.6,-0.043991929,-30.54974169,0.505752952,-19.94974169,1.011505904
6.34,13.4,-0.677748242,-32.82588959,0.498535551,-19.42588959,0.997071101
6.36,12.8,-1.317973646,-31.19665087,0.478578332,-18.39665087,0.957156663
6.38,7.5,-1.874207485,-24.42673306,0.44665652,-16.92673306,0.893313041
6.4,4,-2.30958387,-19.11090541,0.404818607,-15.11090541,0.809637214
6.42,4.2,-2.672763306,-17.20703816,0.354995135,-13.00703816,0.70999027
6.44,4.6,-2.997296112,-15.24624244,0.298294541,-10.64624244,0.596589082
