t,ytt,xtt,xtt+ytt,xt,x,f,
28.92,57.8,-27.701922512127652,30.098077487872345,-22.119139541484525,-0.5483040317760086,-1.0966080635520172,
28.94,53.7,-5.985761230499381,47.714238769500625,-22.456016378910796,-0.9940555909799618,-1.9881111819599235,
28.96,43.8,21.39628841891194,65.19628841891193,-22.30191110702667,-1.4416348658393363,-2.8832697316786726,
28.98,39.4,42.817661654429166,82.21766165442916,-21.65977160629326,-1.8812516929725356,-3.762503385945071,
29,39.6,58.86926753849668,98.46926753849668,-20.642902314364,-2.304278432179108,-4.608556864358216,
29.02,26.6,86.91024031102687,113.51024031102688,-19.185107235868767,-2.702558527681436,-5.405117055362872,
29.04,16.8,110.23512194017717,127.03512194017716,-17.213653613356726,-3.066546136173691,-6.133092272347382,
29.06,2.4,136.20778354019083,138.60778354019084,-14.749224558553045,-3.386174917892789,-6.772349835785578,
29.08,0.5,147.52578350827682,148.02578350827682,-11.911888888068368,-3.652786052359003,-7.305572104718006,
29.1,8.7,146.48093296194435,155.18093296194434,-8.971821723366157,-3.8616231584733485,-7.723246316946697,
29.12,26.6,133.57495623784098,160.17495623784097,-6.171262831368303,-4.013054004020693,-8.026108008041385,
29.14,41,122.12761905909866,163.12761905909866,-3.614237078398906,-4.110909003118365,-8.22181800623673,
29.16,42.4,121.6926526312915,164.0926526312915,-1.1760343614950046,-4.158811717517304,-8.317623435034609,
29.18,27.1,135.8555801746373,162.9555801746373,1.3994479665642836,-4.156577581466611,-8.313155162933223,
29.2,-4.2,163.60053738888638,159.4005373888864,4.39400914219952,-4.098643010378972,-8.197286020757945,
29.22,-39.7,192.7462221912344,153.0462221912344,7.957476738000728,-3.9751281515769694,-7.950256303153939,
29.24,-53.5,197.2533133738543,143.7533133738543,11.857472093651616,-3.776978663260446,-7.553957326520892,
29.26,-52.5,184.02809732978562,131.52809732978562,15.670286200688015,-3.5017010803170496,-7.003402160634099,
29.28,-42.4,159.03455138782763,116.63455138782763,19.100912687864145,-3.153989091431528,-6.307978182863056,
29.3,-27,126.50447373342189,99.50447373342189,21.95630293907664,-2.74341693516212,-5.48683387032424,
29.32,-8.9,89.57123864461768,80.67123864461767,24.117060062857036,-2.282683305142783,-4.565366610285566,
29.34,4.4,56.24995056712984,60.649950567129835,25.57527195497451,-1.7857599849644676,-3.5715199699289353,
29.36,-0.5,40.26678407115202,39.76678407115202,26.54043930135733,-1.2646028724011493,-2.5292057448022986,
29.38,-7.3,25.66141288140309,18.36141288140309,27.199721270882883,-0.7272012666787472,-1.4544025333574944,
29.4,-9.8,6.523952577725049,-3.276047422274952,27.521574925474162,-0.17998830471517674,-0.3599766094303535,
29.42,-8.2,-16.621752364270936,-24.821752364270935,27.420596927608702,0.3694334138156519,0.7388668276313038,
29.44,-11.4,-34.600701729326225,-46.000701729326224,26.90837238667273,0.9127231069584664,1.8254462139169327,
29.46,-26.7,-39.95957936991322,-66.65957936991322,26.162769575680336,1.4434345265819972,2.8868690531639944,
29.48,-49.3,-37.44098675217406,-86.74098675217405,25.388763914459464,1.9589498614833953,3.9178997229667907,
29.5,-65.5,-40.667975063892555,-106.16797506389256,24.607674296298796,2.458914243590978,4.917828487181956,
29.52,-61.6,-63.0802084073788,-124.6802084073788,23.570192461586082,2.940692911169827,5.881385822339654,
29.54,-49.6,-92.35050627892329,-141.95050627892329,22.01588531472306,3.3965536889329186,6.793107377865837,
29.56,-42.9,-114.73918446220114,-157.63918446220114,19.94498840731182,3.8161624261532676,7.632324852306535,
29.58,-42.3,-129.1489521126978,-171.44895211269778,17.506107041562828,4.190673380642014,8.381346761284028,
29.6,-45.7,-137.4841145159672,-183.18411451596722,14.839776375276177,4.514132214810404,9.028264429620808,
29.62,-44,-148.64321587178327,-192.64321587178327,11.978503071398672,4.782315009277152,9.564630018554304,
29.64,-40.1,-159.57409580122592,-199.67409580122592,8.89632995466858,4.991063339537824,9.982126679075648,
29.66,-32.4,-171.6871998433766,-204.0871998433766,5.583716998222555,5.135863809066736,10.271727618133472,
29.68,-30.8,-175.01288909637788,-205.8128890963779,2.1167161088250106,5.2128681401372114,10.425736280274423,
29.7,-40.5,-164.42560151537194,-204.92560151537194,-1.2776687972924874,5.2212586132525365,10.442517226505073,
29.72,-56,-145.61840107001117,-201.61840107001117,-4.378108823146318,5.164700837048148,10.329401674096296,
29.74,-59.3,-136.71650049705718,-196.01650049705717,-7.201457838817002,5.048905170428515,10.09781034085703,
29.76,-47.4,-140.75820449054422,-188.15820449054422,-9.976204888693015,4.877128543153415,9.75425708630683,
29.78,-29.6,-148.408911674891,-178.00891167489098,-12.867876050347368,4.648687733763011,9.297375467526022,
29.8,-13.7,-151.81844770146424,-165.51844770146423,-15.87014964411092,4.3613074768184275,8.722614953636855,
29.82,-6.7,-144.0490989681894,-150.7490989681894,-18.828825110807458,4.014317729269243,8.028635458538487,
29.84,-9.8,-124.11457869669297,-133.91457869669298,-21.51046188745628,3.610924859286606,7.221849718573212,
