t,ytt,xtt,xt,x,f
5.34,5.4,-28.15229231,-0.384824557,0.579997101,1.159994201
5.36,1.8,-23.84712833,-0.904818763,0.567100667,1.134201335
5.38,0.8,-21.78056878,-1.361095734,0.544441522,1.088883045
5.4,0.9,-20.47973607,-1.783698783,0.512993577,1.025987154
5.42,0.9,-18.76847596,-2.176180903,0.47339478,0.946789561
5.44,-1.6,-14.29505622,-2.506816225,0.426564809,0.853129618
5.46,-3.5,-10.22650213,-2.752031808,0.373976329,0.747952658
5.48,-5,-6.425072175,-2.918547551,0.317270535,0.63454107
5.5,-6.9,-2.154464649,-3.00434292,0.25804163,0.516083261
5.52,-6.4,-0.26366801,-3.028524246,0.197712959,0.395425918
5.54,-1.7,-2.550720358,-3.05666813,0.136861035,0.27372207
5.56,-1.6,-0.215919696,-3.08433453,0.075451008,0.150902017
5.58,-0.7,1.310922277,-3.073384505,0.013873818,0.027747636
5.6,-3,5.981289924,-3.000462382,-0.046864651,-0.093729302
5.62,-9.4,14.59158371,-2.794733646,-0.104816611,-0.209633222
5.64,-11.5,18.64173044,-2.462400505,-0.157387953,-0.314775905
5.66,-8.9,17.70544542,-2.098928746,-0.203001245,-0.40600249
5.68,2.5,7.766109963,-1.844213192,-0.242432664,-0.484865329
5.7,12.6,-0.930513114,-1.775857224,-0.278633369,-0.557266737
5.72,16.3,-3.196501175,-1.817127367,-0.314563215,-0.629126429
5.74,12.8,1.749413351,-1.831598245,-0.351050471,-0.702100941
5.76,2.7,13.18036105,-1.682300501,-0.386189458,-0.772378916
5.78,-7.7,24.61694204,-1.30432747,-0.416055738,-0.832111476
5.8,-15.1,32.60517159,-0.732106334,-0.436420076,-0.872840152
5.82,-10.4,28.01536526,-0.125900965,-0.445000149,-0.890000298
5.84,-2.5,19.84539515,0.352706639,-0.442732092,-0.885464184
5.86,3.2,13.60871856,0.687247776,-0.432332548,-0.864665096
5.88,6.4,9.68630424,0.920198004,-0.41625809,-0.83251618
5.9,3,12.19090214,1.138970068,-0.395666409,-0.791332819
5.92,-1.2,15.2795969,1.413675058,-0.370139958,-0.740279916
5.94,-3.8,16.51799783,1.731651006,-0.338686698,-0.677373395
5.96,-5.4,16.49594753,2.061790459,-0.300752283,-0.601504566
5.98,-0.8,10.06304727,2.327380407,-0.256860574,-0.513721148
6,0.7,6.596844432,2.493979324,-0.208646977,-0.417293954
6.02,-1.8,7.022566042,2.630173429,-0.157405449,-0.314810899
6.04,-6.3,9.319738473,2.793596474,-0.10316775,-0.206335501
6.06,-11.5,12.14831795,3.008277038,-0.045149015,-0.09029803
6.08,-13.2,11.29216972,3.242681915,0.017360574,0.034721149
6.1,-8.6,4.013723597,3.395740848,0.083744802,0.167489604
6.12,1.3,-8.532570564,3.350552379,0.151207734,0.302415468
6.14,8.9,-18.56889824,3.07953769,0.215508635,0.43101727
6.16,11.1,-22.88050747,2.665043633,0.272954448,0.545908896
6.18,6.9,-20.45032492,2.231735309,0.321922238,0.643844475
6.2,-2.7,-12.35921656,1.903639895,0.36327599,0.726551979
6.22,-9.6,-6.814293953,1.71190479,0.399431436,0.798862873
6.24,-10.4,-7.257358262,1.571188267,0.432262367,0.864524734
6.26,-5.1,-13.63666389,1.362248046,0.46159673,0.92319346
6.28,1.5,-21.04459048,1.015435502,0.485373566,0.970747131
6.3,7.2,-27.17420547,0.533247543,0.500860396,1.001720792
6.32,10.6,-30.54974169,-0.043991929,0.505752952,1.011505904
6.34,13.4,-32.82588959,-0.677748242,0.498535551,0.997071101
6.36,12.8,-31.19665087,-1.317973646,0.478578332,0.957156663
6.38,7.5,-24.42673306,-1.874207485,0.44665652,0.893313041
6.4,4,-19.11090541,-2.30958387,0.404818607,0.809637214
6.42,4.2,-17.20703816,-2.672763306,0.354995135,0.70999027
6.44,4.6,-15.24624244,-2.997296112,0.298294541,0.596589082
6.46,6,-14.05354378,-3.290293974,0.23541864,0.47083728
6.48,4.8,-10.06945643,-3.531523976,0.16720046,0.334400921
6.5,-0.8,-1.591083695,-3.648129377,0.095403927,0.190807854
6.52,-1.2,1.688611113,-3.647154103,0.022451092,0.044902184
6.54,3.9,-0.540571716,-3.635673709,-0.050377186,-0.100754372
6.56,6.7,-0.462219522,-3.645701621,-0.123190939,-0.246381879
6.58,3.2,5.874540146,-3.591578415,-0.19556374,-0.391127479
6.6,-3.3,15.0488552,-3.382344462,-0.265302968,-0.530605937
6.62,-2.5,16.67461345,-3.065109775,-0.329777511,-0.659555022
6.64,0.4,15.9429925,-2.738933716,-0.387817946,-0.775635891
6.66,-1.1,19.33331406,-2.38617065,-0.439068989,-0.878137979
6.68,-1.7,21.50220048,-1.977815505,-0.482708851,-0.965417702
6.7,4.1,16.96692579,-1.593124242,-0.518418248,-1.036836497
6.72,14.7,7.436466919,-1.349090315,-0.547840394,-1.095680788
6.74,14.9,8.181133157,-1.192914314,-0.57326044,-1.14652088
6.76,5.4,18.41773704,-0.926925612,-0.594458839,-1.188917679
6.78,-5.4,29.57917982,-0.446956444,-0.60819766,-1.21639532
6.8,-10.4,34.4380136,0.193215491,-0.61073507,-1.221470139
