t,ytt,x,xt,xtt,f
24.22,0.6,-2.342157886,18.28998595,30.48850687,-2.045860578
24.24,-0.1,-1.960389353,19.83467338,18.43455582,-1.28232351
24.26,-0.7,-1.550787528,21.07004026,1.098401605,-0.463119862
24.28,5.7,-1.119738199,21.97701357,-16.86066468,0.398978796
24.3,23,-0.67533068,22.40470358,-18.1744832,0.781597129
24.32,37.5,-0.229366219,22.13338176,-8.35124027,1.165555933
24.34,34.6,0.204809763,21.22820424,-0.888697406,1.539365293
24.36,18.7,0.618160465,20.05393333,-10.37078884,1.895244863
24.38,0.7,1.008092228,18.88938075,-32.4585456,2.230961599
24.4,-15.6,1.375400777,17.79450214,-56.28809353,2.547200588
24.42,-24.6,1.721309941,16.75219304,-78.07378307,2.845015504
24.44,-28.5,2.045578298,15.63336613,-92.16284652,3.12419849
24.46,-28.4,2.345839368,14.3548252,-100.683702,3.382712096
24.48,-24.2,2.618311136,12.85836788,-104.6501334,3.617300147
24.5,-23.6,2.858064793,11.08766553,-103.8571416,3.823719123
24.52,-27,3.060625029,9.14413876,-105.9669046,3.998115946
