t [s],v [É m/sec]
16.03,-31.537
16.04,-25.953
16.05,-19.081
16.06,-11.365
16.07,-2.79
16.08,6.241
16.09,14.676
16.1,22.201
16.11,27.922
16.12,32.2
16.13,34.575
16.14,35.739
16.15,36.511
16.16,36.843
16.17,36.878
16.18,35.674
16.19,32.692
16.2,27.879
16.21,22.23
16.22,15.371
16.23,6.936
16.24,-2.523
16.25,-12.35
16.26,-20.885
16.27,-27.447
16.28,-31.715
16.29,-33.726
16.3,-34.498
16.31,-34.072
16.32,-32.605
16.33,-30.425
16.34,-27.793
16.35,-24.659
16.36,-20.499
16.37,-15.214
16.38,-9.172
16.39,-2.713
16.4,3.635
16.41,10.203
16.42,16.015
16.43,19.82
16.44,22.577
